-1.79,87.26,24.352
-0.02,86.62,24.346
0,86.67,24.292
-0.01,86.69,24.313
-0.03,86.95,24.364
0.01,86.85,24.285
-0.02,87.44,24.291
0.01,87.03,24.308
0.02,86.85,24.255
-0.01,86.9,24.234
0.01,86.8,24.295
-0.01,86.92,24.286
0.02,87.16,24.243
-0.02,87.36,24.205
0.03,87.9,24.194
0.01,87.85,24.228
0,88.16,24.215
0.02,88.11,24.193
-0.01,88.36,24.179
-0.01,87.98,24.16
-0.02,88.42,24.106
-0.02,88.26,24.164
0.01,88.34,24.108
-0.01,88.67,24.113
0,88.85,24.125
0,88.75,24.093
0.02,89.24,24.101
0,89.39,24.064
-0.02,89.45,24.077
-0.01,89.57,24.097
0,89.81,24.085
0,90.06,24.06
-0.01,90.22,24.056
0.01,89.83,24.046
0,89.65,24.044
0,89.75,24.051
0.01,89.7,24.051
-0.01,90.11,24.061
-0.01,90.35,24.017
0.01,90.42,24.045
-0.01,90.42,24.033
0.02,90.71,24.061
0.02,89.78,24.035
-0.01,89.93,23.995
0,89.34,24.004
-0.01,89.55,23.969
0.01,89.34,23.978
-0.01,89.73,23.958
-0.01,90.45,23.962
0.01,90.47,23.967
-0.01,90.35,23.951
0,90.19,23.973
-0.01,90.5,23.956
0.01,90.65,23.974
0,90.76,23.97
0.01,90.68,23.965
0.01,90.81,23.982
-0.01,91.19,23.974
0.01,90.81,23.957
0.01,91.01,23.946
0.01,90.76,23.938
0,90.78,23.928
0,90.76,23.943
0,90.78,23.946
0,90.89,23.938
0.01,90.91,23.918
0.01,90.55,23.914
-0.01,90.58,23.9
-0.01,90.6,23.908
-0.01,90.53,23.892
0,90.09,23.897
0,89.96,23.895
0.01,90.01,23.891
-0.03,90.04,23.89
0,90.27,23.897
0.01,89.83,23.895
-0.01,89.91,23.887
-0.02,89.55,23.897
0.01,89.39,23.87
0,89.39,23.871
-0.01,88.54,23.869
0,89.01,23.868
0,88.98,23.87
-0.01,89.29,23.859
0.02,89.47,23.858
0,89.68,23.85
0,89.45,23.85
-0.01,89.83,23.853
-0.01,89.45,23.842
-0.01,89.55,23.841
